Time	对那些比我不幸的人，我经常有心软和关怀的感觉	有时候当其他人有困难或者问问题时，我并不会为他们感到很难过	我的确会投入小说中人物的感情世界	在紧急状况中，我会感到担忧、害怕与难以平静	看电影或者看戏时，我通常是旁观的，并且不经常全身心投入	在做决定前，我会去看每个人的立场	当我看到有人被别人利用时，我有点感到想保护他们	当我处在一个情绪非常激动的情况中时，我往往感到无依无靠，不知如何是好	有时我想从我朋友的角度看事情的样子，以便更了解他们	对我来说，全身心投入到一本好书或一部好电影中，是一件少有的事情	其他人的不幸通常不会给我带来很大的困扰	看完戏或电影后，我觉得自己好像是剧中的某一个角色	处在紧张情绪的状况中，我会惊慌害怕	当我看到有人在受到不公平的对待时，我有时并不感到十分同情他们	我相信每个问题都有两面观点，所以我常试着从这不同的观点来看问题	我认为自己是一个相当软心肠的人	当我观赏一部好电影时，我很容易站在某个主角的立场去感受他的心情	在紧急状况时，我紧张得几乎无法控制自己	当我对一个人生气时，我通常会尝试着想一下他的立场	当我阅读一篇引人入胜的故事或小说时，我会想象着：如果故事中的事件发生在我身上，我会感觉怎么样？	当我看到有人发生意外而急需帮助时，我会紧张得几乎精神崩溃	在批评别人前我会试着想象：加入我处在他的情况，我的感受如何？	请问您的专业是否与医学相关？
10/Jan/17 06:22	很恰当	还算恰当	恰当	有一点恰当	不恰当	恰当	很恰当	还算恰当	还算恰当	不恰当	有一点恰当	有一点恰当	有一点恰当	不恰当	还算恰当	恰当	恰当	有一点恰当	还算恰当	还算恰当	有一点恰当	还算恰当	是
10/Jan/17 06:15	恰当	有一点恰当	恰当	还算恰当	恰当	有一点恰当	有一点恰当	恰当	还算恰当	不恰当	还算恰当	有一点恰当	还算恰当	不恰当	恰当	有一点恰当	恰当	还算恰当	有一点恰当	还算恰当	恰当	有一点恰当	是
10/Jan/17 05:54	恰当	不恰当	还算恰当	有一点恰当	有一点恰当	有一点恰当	还算恰当	恰当	有一点恰当	不恰当	不恰当	有一点恰当	有一点恰当	不恰当	很恰当	恰当	还算恰当	不恰当	还算恰当	还算恰当	有一点恰当	有一点恰当	是
10/Jan/17 05:28	恰当	有一点恰当	恰当	恰当	有一点恰当	还算恰当	恰当	恰当	恰当	恰当	还算恰当	恰当	恰当	不恰当	恰当	恰当	恰当	还算恰当	还算恰当	还算恰当	有一点恰当	恰当	是
10/Jan/17 05:13	恰当	很恰当	还算恰当	还算恰当	还算恰当	还算恰当	恰当	恰当	还算恰当	恰当	还算恰当	很恰当	恰当	恰当	还算恰当	恰当	还算恰当	恰当	恰当	恰当	恰当	恰当	是
10/Jan/17 04:45	很恰当	不恰当	有一点恰当	很恰当	还算恰当	恰当	很恰当	还算恰当	有一点恰当	不恰当	有一点恰当	有一点恰当	还算恰当	不恰当	很恰当	很恰当	很恰当	有一点恰当	还算恰当	很恰当	有一点恰当	很恰当	是
10/Jan/17 04:44	有一点恰当	不恰当	很恰当	很恰当	不恰当	还算恰当	还算恰当	有一点恰当	不恰当	不恰当	不恰当	恰当	还算恰当	不恰当	不恰当	有一点恰当	恰当	有一点恰当	不恰当	还算恰当	有一点恰当	有一点恰当	是
10/Jan/17 04:36	恰当	不恰当	还算恰当	恰当	有一点恰当	还算恰当	还算恰当	有一点恰当	恰当	不恰当	还算恰当	有一点恰当	很恰当	不恰当	很恰当	还算恰当	有一点恰当	还算恰当	有一点恰当	还算恰当	不恰当	有一点恰当	是
10/Jan/17 04:13	恰当	恰当	很恰当	恰当	不恰当	有一点恰当	有一点恰当	很恰当	恰当	不恰当	不恰当	有一点恰当	不恰当	还算恰当	恰当	有一点恰当	恰当	不恰当	不恰当	很恰当	有一点恰当	还算恰当	是
10/Jan/17 04:12	恰当	不恰当	很恰当	有一点恰当	不恰当	恰当	还算恰当	有一点恰当	恰当	不恰当	有一点恰当	还算恰当	还算恰当	不恰当	恰当	很恰当	恰当	不恰当	还算恰当	恰当	不恰当	恰当	是
10/Jan/17 04:03	还算恰当	不恰当	不恰当	恰当	不恰当	恰当	还算恰当	恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	不恰当	有一点恰当	恰当	有一点恰当	有一点恰当	有一点恰当	还算恰当	不恰当	有一点恰当	是
10/Jan/17 04:00	很恰当	不恰当	很恰当	恰当	还算恰当	恰当	很恰当	很恰当	很恰当	有一点恰当	不恰当	恰当	很恰当	不恰当	很恰当	很恰当	很恰当	很恰当	很恰当	很恰当	有一点恰当	很恰当	是
10/Jan/17 03:57	很恰当	还算恰当	恰当	有一点恰当	不恰当	还算恰当	还算恰当	有一点恰当	很恰当	不恰当	不恰当	有一点恰当	有一点恰当	不恰当	恰当	很恰当	恰当	不恰当	有一点恰当	恰当	恰当	还算恰当	是
10/Jan/17 03:53	不恰当	不恰当	不恰当	还算恰当	不恰当	还算恰当	有一点恰当	有一点恰当	还算恰当	不恰当	不恰当	不恰当	还算恰当	不恰当	很恰当	不恰当	有一点恰当	有一点恰当	有一点恰当	有一点恰当	有一点恰当	有一点恰当	是
10/Jan/17 03:53	还算恰当	还算恰当	有一点恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	还算恰当	是
10/Jan/17 03:04	有一点恰当	有一点恰当	恰当	不恰当	恰当	还算恰当	不恰当	恰当	很恰当	有一点恰当	恰当	还算恰当	有一点恰当	还算恰当	恰当	很恰当	有一点恰当	还算恰当	恰当	很恰当	还算恰当	有一点恰当	
